user_id,item_id,relevance
user_0000,item_0145,5
user_0000,item_0158,5
user_0000,item_0176,5
user_0000,item_0109,2
user_0000,item_0165,2
user_0000,item_0193,2
user_0000,item_0025,1
user_0000,item_0046,1
user_0000,item_0048,1
user_0000,item_0063,1
user_0000,item_0084,1
user_0000,item_0106,1
user_0000,item_0113,1
user_0000,item_0126,1
user_0000,item_0161,1
user_0000,item_0163,1
user_0000,item_0179,1
user_0000,item_0187,1
user_0001,item_0015,2
user_0001,item_0070,1
user_0001,item_0139,1
user_0002,item_0001,5
user_0002,item_0004,5
user_0002,item_0011,5
user_0002,item_0020,5
user_0002,item_0124,5
user_0002,item_0160,5
user_0002,item_0167,5
user_0002,item_0043,2
user_0002,item_0094,2
user_0002,item_0196,2
user_0002,item_0008,1
user_0002,item_0038,1
user_0002,item_0041,1
user_0002,item_0057,1
user_0002,item_0072,1
user_0002,item_0078,1
user_0002,item_0088,1
user_0002,item_0112,1
user_0002,item_0143,1
user_0002,item_0153,1
user_0002,item_0161,1
user_0002,item_0176,1
user_0002,item_0195,1
user_0002,item_0199,1
user_0003,item_0067,5
user_0003,item_0161,5
user_0003,item_0097,2
user_0003,item_0173,2
user_0003,item_0012,1
user_0003,item_0015,1
user_0003,item_0026,1
user_0003,item_0042,1
user_0003,item_0064,1
user_0003,item_0066,1
user_0003,item_0068,1
user_0003,item_0074,1
user_0003,item_0093,1
user_0003,item_0094,1
user_0003,item_0108,1
user_0003,item_0181,1
user_0003,item_0187,1
user_0004,item_0032,2
user_0004,item_0050,2
user_0004,item_0059,2
user_0004,item_0081,2
user_0004,item_0082,2
user_0004,item_0138,2
user_0004,item_0149,2
user_0004,item_0156,2
user_0004,item_0030,1
user_0004,item_0041,1
user_0004,item_0051,1
user_0004,item_0056,1
user_0004,item_0078,1
user_0004,item_0092,1
user_0004,item_0108,1
user_0004,item_0116,1
user_0004,item_0130,1
user_0004,item_0146,1
user_0004,item_0164,1
user_0004,item_0176,1
user_0005,item_0024,2
user_0006,item_0090,5
user_0006,item_0182,5
user_0006,item_0084,2
user_0006,item_0132,2
user_0006,item_0145,2
user_0006,item_0194,2
user_0006,item_0199,2
user_0006,item_0004,1
user_0006,item_0005,1
user_0006,item_0042,1
user_0006,item_0139,1
user_0006,item_0144,1
user_0006,item_0161,1
user_0006,item_0181,1
user_0007,item_0135,2
user_0007,item_0010,1
user_0007,item_0050,1
user_0007,item_0160,1
user_0008,item_0043,5
user_0008,item_0123,5
user_0008,item_0165,5
user_0008,item_0188,5
user_0008,item_0141,2
user_0008,item_0159,2
user_0008,item_0003,1
user_0008,item_0009,1
user_0008,item_0036,1
user_0008,item_0037,1
user_0008,item_0059,1
user_0008,item_0072,1
user_0008,item_0078,1
user_0008,item_0085,1
user_0008,item_0134,1
user_0008,item_0147,1
user_0008,item_0158,1
user_0008,item_0163,1
user_0008,item_0172,1
user_0009,item_0004,5
user_0009,item_0154,5
user_0009,item_0046,1
user_0009,item_0066,1
user_0009,item_0114,1
user_0009,item_0117,1
user_0009,item_0120,1
user_0009,item_0192,1
user_0010,item_0057,5
user_0010,item_0096,5
user_0010,item_0113,5
user_0010,item_0128,5
user_0010,item_0135,5
user_0010,item_0055,2
user_0010,item_0083,2
user_0010,item_0146,2
user_0010,item_0166,2
user_0010,item_0002,1
user_0010,item_0005,1
user_0010,item_0014,1
user_0010,item_0022,1
user_0010,item_0047,1
user_0010,item_0050,1
user_0010,item_0071,1
user_0010,item_0127,1
user_0010,item_0138,1
user_0010,item_0165,1
user_0010,item_0175,1
user_0010,item_0187,1
user_0011,item_0042,2
user_0011,item_0018,1
user_0011,item_0070,1
user_0011,item_0089,1
user_0011,item_0132,1
user_0012,item_0116,5
user_0012,item_0039,2
user_0012,item_0163,2
user_0012,item_0170,2
user_0012,item_0179,2
user_0012,item_0004,1
user_0012,item_0046,1
user_0012,item_0058,1
user_0012,item_0101,1
user_0012,item_0110,1
user_0012,item_0114,1
user_0012,item_0126,1
user_0012,item_0176,1
